percentage_positive,percentage_not applicable,level
76,24,uncertain
73,27,uncertain
73,27,uncertain
74,26,uncertain
73,27,uncertain
74,26,uncertain
74,26,uncertain
71,29,uncertain
78,22,uncertain
71,29,uncertain
78,22,uncertain
72,28,uncertain
71,29,uncertain
69,31,uncertain
77,23,uncertain
72,28,uncertain
78,22,uncertain
74,26,uncertain
79,21,certain
80,20,uncertain
71,29,uncertain
71,29,uncertain
69,31,uncertain
74,26,uncertain
76,24,uncertain
74,26,uncertain
77,23,uncertain
78,22,uncertain
76,24,uncertain
73,27,uncertain
