percentage_higher,percentage_lower,percentage_not applicable,level
22,17,61,uncertain
33,6,61,uncertain
11,39,50,uncertain
28,0,72,uncertain
17,11,72,uncertain
17,11,72,uncertain
17,22,61,uncertain
11,22,67,uncertain
17,17,67,uncertain
28,6,67,uncertain
6,0,94,uncertain
33,11,56,uncertain
28,6,67,uncertain
28,17,56,uncertain
22,22,56,uncertain
17,22,61,uncertain
22,17,61,uncertain
28,11,61,uncertain
17,11,72,certain
6,11,83,uncertain
39,0,61,uncertain
11,17,72,uncertain
6,28,67,uncertain
22,11,67,uncertain
33,17,50,uncertain
28,6,67,uncertain
0,17,83,uncertain
22,22,56,uncertain
11,17,72,uncertain
17,17,67,uncertain
